,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,1006,1606,1028,1631
1,2,1031,1280,1049,1305
2,3,1031,1467,1052,1489
3,4,1054,1931,1085,1963
4,5,1065,1783,1086,1805
5,6,1069,2201,1085,2221
6,7,1074,2084,1099,2117
7,8,1084,1312,1104,1335
8,9,1093,2012,1113,2033
9,10,1095,1024,1122,1053
10,11,1121,1349,1141,1373
11,12,1128,2433,1156,2474
12,13,1147,1594,1167,1615
13,14,1168,2467,1194,2496
14,15,1171,1692,1194,1717
15,16,1176,1501,1204,1529
16,17,1187,2231,1205,2251
17,18,1188,2631,1214,2664
18,19,1195,1405,1212,1424
19,20,1199,1234,1228,1269
20,21,1205,1111,1229,1140
21,22,1205,2096,1232,2126
22,23,1212,2526,1229,2544
23,24,1217,1487,1234,1505
24,25,1223,1980,1249,2014
25,26,1249,861,1275,886
26,27,1257,747,1282,772
27,28,1259,1198,1284,1227
28,29,1267,2495,1295,2532
29,30,1279,2427,1298,2449
30,31,1281,1807,1306,1831
31,32,1285,2663,1307,2690
32,33,1290,675,1314,701
33,34,1303,886,1332,920
34,35,1305,1595,1334,1620
35,36,1319,2154,1346,2180
36,37,1324,1311,1348,1343
37,38,1328,1047,1352,1073
38,39,1334,2837,1354,2859
39,40,1336,1920,1362,1940
40,41,1338,2362,1362,2387
41,42,1341,547,1357,564
42,43,1347,828,1366,847
43,44,1348,2638,1375,2668
44,45,1349,1982,1377,2010
45,46,1366,609,1387,634
46,47,1369,1486,1389,1506
47,48,1380,1546,1408,1580
48,49,1388,552,1409,574
49,50,1402,1920,1425,1948
50,51,1402,2274,1435,2309
51,52,1403,1334,1430,1371
52,53,1404,1257,1421,1280
53,54,1411,2055,1429,2080
54,55,1416,1065,1432,1088
55,56,1424,1700,1452,1728
56,57,1438,453,1456,471
57,58,1438,2770,1456,2790
58,59,1444,939,1460,959
59,60,1444,1765,1465,1789
60,61,1454,602,1472,623
61,62,1456,2921,1480,2947
62,63,1457,1233,1482,1258
63,64,1467,2039,1494,2067
64,65,1472,2225,1491,2246
65,66,1481,2824,1508,2858
66,67,1488,1438,1507,1460
67,68,1504,2637,1528,2662
68,69,1506,2915,1542,2952
69,70,1507,1893,1528,1922
70,71,1515,1197,1539,1223
71,72,1522,1075,1538,1094
72,73,1523,1835,1538,1852
73,74,1547,2875,1572,2903
74,75,1548,2063,1573,2096
75,76,1565,1359,1593,1392
76,77,1572,1591,1598,1620
77,78,1573,1757,1594,1781
78,79,1589,2813,1610,2838
79,80,1604,2484,1629,2518
80,81,1613,544,1635,569
81,82,1614,1951,1642,1984
82,83,1618,2753,1639,2778
83,84,1633,1446,1652,1468
84,85,1634,1279,1658,1312
85,86,1640,209,1657,230
86,87,1644,1508,1663,1528
87,88,1646,1221,1667,1244
88,89,1648,2690,1675,2722
89,90,1650,1591,1674,1619
90,91,1662,2526,1685,2548
91,92,1669,2338,1700,2373
92,93,1674,973,1699,1010
93,94,1676,2254,1699,2281
94,95,1686,326,1707,348
95,96,1691,2041,1722,2071
96,97,1692,2752,1709,2772
97,98,1703,1412,1729,1439
98,99,1711,2607,1733,2637
99,100,1714,1143,1735,1164
100,101,1716,703,1739,729
101,102,1720,1723,1744,1749
102,103,1723,812,1746,836
103,104,1723,1302,1742,1320
104,105,1729,2506,1751,2537
105,106,1737,1940,1764,1972
106,107,1744,602,1771,631
107,108,1745,382,1768,408
108,109,1752,2391,1780,2420
109,110,1762,990,1786,1021
110,111,1782,823,1803,847
111,112,1786,1767,1811,1794
112,113,1797,1410,1819,1432
113,114,1808,1540,1840,1574
114,115,1819,1156,1835,1182
115,116,1820,2172,1840,2193
116,117,1822,715,1844,737
117,118,1842,2111,1866,2136
118,119,1842,2373,1868,2406
119,120,1876,1038,1898,1061
120,121,1893,1502,1910,1519
121,122,1900,1688,1919,1709
122,123,1908,1216,1929,1242
123,124,1908,2098,1930,2125
124,125,1911,2048,1938,2074
125,126,1917,1777,1938,1799
126,127,1919,1845,1941,1867
127,128,1936,1943,1962,1974
128,129,1947,1553,1968,1574
